2054 Indonesia Russia
8117 Indonesia Brazil
7569 Qatar Slovenia
5049 Poland Latvia
2601 SouthAfrica China
2781 Norway Mozambique
3107 Peru China
8099 Croatia Brazil
4848 Indonesia Jordan
9993 Philippines China
4225 Indonesia Slovenia
9316 China SouthKorea
6683 Indonesia Ethiopia
5964 China Japan
5390 Russia Latvia
4355 China Russia
3311 Turkmenistan Indonesia
6596 Indonesia Russia
4396 Brazil China
6510 CzechRepublic Russia
5051 Malawi China
9026 Albania Indonesia
7352 China Indonesia
4264 Vietnam Argentina
5388 Philippines Indonesia
6013 Honduras CzechRepublic
9190 Brazil France
7403 China Indonesia
7138 China Philippines
5947 Russia Philippines
5104 Greece Macedonia
1103 Russia Thailand
4394 Serbia UnitedKingdom
1271 Russia China
4093 Iran Ukraine
3562 Indonesia China
7530 SouthAfrica China
3204 Belarus Nicaragua
5580 Russia Uganda
5180 Indonesia Greece
3793 Russia Sweden
1100 PalestinianTerritory Brazil
3371 China CzechRepublic
7262 China Vietnam
8549 Sweden Bangladesh
3570 Japan Philippines
7169 France Eritrea
7430 Armenia Russia
4438 Philippines Russia
4612 Poland Russia
7413 Guatemala Norway
3831 Pakistan Oman
5881 Brazil Ethiopia
9207 Kyrgyzstan Vietnam
7524 Finland Sweden
3632 Indonesia Croatia
8685 Russia Lithuania
4404 Indonesia Portugal
1786 Russia Greece
3871 Sweden Indonesia
3153 Uzbekistan Brazil
9879 Indonesia France
1480 Indonesia China
2682 Mexico France
6901 Thailand Gambia
8700 Argentina DemocraticRepublicoftheCongo
5430 China Sweden
9090 Greece China
1380 China Ukraine
9818 Poland Indonesia
1406 Colombia Russia
5194 China Russia
9728 China France
2660 Philippines Portugal
7017 China France
3024 Colombia Sweden
3853 Indonesia CzechRepublic
5097 Albania Armenia
7929 Philippines Russia
6264 China Indonesia
6535 China Russia
2414 Russia Germany
8875 Philippines Nigeria
8263 France Argentina
8461 Guatemala France
8290 France Philippines
9004 ElSalvador China
4439 Canada Argentina
3334 Peru China
6337 Vietnam Indonesia
8110 China Russia
5384 Ecuador Philippines
6188 Sweden CzechRepublic
2907 Mexico Ecuador
6797 China Philippines
1458 Panama Kosovo
6845 Japan UnitedStates
8295 Australia Portugal
8963 Russia Indonesia
2276 Ireland Portugal
6837 France Greece
6405 CzechRepublic China
9650 Kazakhstan Poland
8878 Poland Brazil
9256 Brazil Poland
9739 China France
5073 Kazakhstan Mexico
3034 China Philippines
6790 China Yemen
9418 Mexico Syria
2830 Russia China
6280 Brazil Ireland
9175 Brazil Colombia
6200 Vietnam Albania
2838 Nigeria China
9836 Ethiopia Tanzania
4397 China SanMarino
5564 Philippines Poland
7793 Sweden Peru
1403 China Philippines
2555 Brazil China
4008 China Panama
8725 Indonesia CzechRepublic
1722 Peru Russia
8099 UnitedStates Ecuador
9510 Poland Greece
5082 Indonesia Canada
6234 China Colombia
9769 Russia Albania
2510 Netherlands Norway
2926 Bulgaria Portugal
7704 Iran Indonesia
9996 Greece CzechRepublic
3591 Canada CzechRepublic
8698 Mongolia Vietnam
7956 China UnitedStates
7739 Albania China
7377 Sweden UnitedStates
3239 Guam Indonesia
4107 Peru Netherlands
4851 Brazil Serbia
5464 Luxembourg China
3230 Ukraine Turkmenistan
2904 Iran Indonesia
9633 Belarus Indonesia
9682 Indonesia China
8397 Japan Greece
2740 Yemen Pakistan
5227 Canada Colombia
8652 China Panama
2718 Philippines Brazil
4602 Nepal Cyprus
3518 Russia Morocco
4051 Canada China
6853 Mexico Russia
3714 Canada China
1212 Slovenia China
9896 France Portugal
7457 Philippines Russia
2581 Indonesia Belarus
2031 Serbia Peru
7404 Indonesia France
1550 Portugal Indonesia
6336 Poland Philippines
8401 Indonesia Mongolia
4140 CzechRepublic Poland
5581 Uzbekistan PapuaNewGuinea
4936 Uganda Russia
9245 Pakistan Indonesia
7177 France Indonesia
9427 Indonesia Norway
1341 China Philippines
3766 China Malta
5370 Poland Indonesia
2599 Philippines China
8494 China Nigeria
8144 CzechRepublic China
5840 Philippines Senegal
9442 China Indonesia
9891 Greece Sweden
3130 China Israel
2673 Austria Indonesia
4355 Indonesia France
7105 UnitedKingdom Indonesia
8968 China Tanzania
7008 Poland China
2912 SouthKorea France
3334 Argentina Nigeria
8479 Afghanistan Spain
2732 Sweden Thailand
9423 Kenya Russia
3717 Indonesia Brazil
3862 Vietnam China
1248 Colombia Argentina
7637 Poland UnitedStates
7562 Philippines France
8847 SouthKorea CzechRepublic
2206 Poland Indonesia
3096 IvoryCoast Russia
8018 Australia Russia
5001 Sweden Philippines
8742 Japan China
6701 Indonesia Sweden
3292 Iran China
5416 Philippines Nepal
4343 China Martinique
1586 Indonesia Sweden
8011 Finland Russia
7936 Mongolia Indonesia
1801 China Japan
7881 China Ecuador
5684 Sweden Croatia
9661 Argentina Iran
9735 Bolivia Russia
3395 Japan China
1800 Yemen Croatia
6858 Thailand Sweden
4470 Mali China
6919 Indonesia Bulgaria
2075 France Russia
6104 SouthAfrica Brazil
2766 Cuba Brazil
4135 Indonesia Russia
3635 Brazil CapeVerde
7258 Nigeria Japan
3306 Mexico BosniaandHerzegovina
4242 Russia Sweden
2736 Greece China
2208 Thailand Philippines
9941 Indonesia France
9262 Russia China
2318 Bulgaria China
3889 Indonesia Colombia
3338 China Philippines
4840 Poland Malawi
6311 Brazil Ukraine
5236 China Poland
5988 Indonesia Ecuador
3184 Sweden China
4359 Pakistan Poland
4923 Brazil CzechRepublic
1475 Portugal Canada
5789 Vietnam Indonesia
8357 CaymanIslands Brazil
6447 Brazil Russia
5631 Brazil NorthKorea
1774 Ukraine Albania
7210 Iran Ukraine
5827 China Philippines
8954 Brazil China
3333 BosniaandHerzegovina Poland
9061 China Indonesia
3134 Russia Argentina
8283 China Iran
3147 China Philippines
2834 IvoryCoast Philippines
9633 SouthAfrica China
5576 EastTimor Japan
7784 Nigeria Russia
1377 Poland Russia
6682 China Philippines
7297 Cameroon Japan
2412 NorthKorea Indonesia
1261 Poland Kazakhstan
3035 China Indonesia
8489 Indonesia Thailand
8076 Portugal China
4758 Chad Sweden
7508 Guam Bahamas
2337 Yemen Indonesia
9928 Suriname China
8041 Spain Albania
9406 Russia Nicaragua
7006 Vietnam Greece
6571 Ireland Portugal
1120 Russia Indonesia
2689 Kazakhstan Portugal
6447 Brazil China
2903 China Canada
2054 China Poland
6232 China Philippines
4380 Germany CzechRepublic
8137 CzechRepublic Cameroon
3896 Brazil China
1033 China Spain
4165 Macedonia Philippines
7291 Indonesia China
4256 Syria Canada
4580 France China
8030 Azerbaijan Philippines
7750 Philippines Russia
5787 Poland Colombia
1738 Russia Slovenia
6140 China Indonesia
6356 ElSalvador CzechRepublic
1472 Malta PalestinianTerritory
9266 Brazil China
9881 China Russia
8089 Brazil Yemen
5440 CzechRepublic Thailand
6176 Philippines Poland
7965 China Albania
9781 Indonesia CzechRepublic
2785 China Croatia
1329 Portugal China
6423 Indonesia Greece
8831 Indonesia China
7238 Poland Portugal
8163 China Zimbabwe
2682 Iraq Philippines
2763 Taiwan China
9926 Philippines France
2129 Argentina Peru
7991 Thailand BurkinaFaso
7369 Russia Indonesia
3225 Colombia China
9354 Ethiopia Thailand
7804 China Thailand
3221 Japan Indonesia
6674 Indonesia Portugal
9533 Norway Brazil
9109 Afghanistan China
9684 Latvia Thailand
6123 EastTimor BosniaandHerzegovina
6020 Japan Panama
6066 Sweden China
8129 Sweden Japan
4386 Morocco Peru
4516 Yemen China
2820 Indonesia Ethiopia
3700 Indonesia Portugal
2994 Indonesia Russia
7381 Portugal UnitedStates
6625 Brazil Indonesia
3545 China SaudiArabia
9098 Malta Cuba
9458 UnitedStates Poland
5646 Peru Ukraine
8729 Ukraine Portugal
2771 China Portugal
4345 China Brazil
4586 Cuba BosniaandHerzegovina
1609 Canada China
5946 China Philippines
2065 Yemen China
7339 Estonia UnitedStates
4225 DominicanRepublic CzechRepublic
4146 Venezuela Russia
5842 Brazil China
5947 Thailand Sweden
7670 China Vietnam
7827 UnitedStates Sudan
8998 Colombia Sweden
9112 Mexico Japan
5951 Finland Portugal
5271 China Philippines
8874 Indonesia China
8872 Philippines China
3615 China Panama
